layer_idx,calls,access_num_units,hit_num_units,miss_num_units,update_num_units,hit_rate_units,miss_rate_units,update_per_miss_units,capacity_scale,cache_pages
0,99,2267464,2194424,73040,73040,0.9677878017026952,0.03221219829730483,1.0,1.0,744
1,99,1856371,1315733,540638,540638,0.7087661895170739,0.29123381048292607,1.0,0.75,558
2,99,1997553,1654757,342796,342796,0.8283920376580747,0.17160796234192535,1.0,0.75,558
3,99,1818276,1604039,214237,214237,0.8821757532959793,0.11782424670402074,1.0,0.75,558
4,99,1871543,1740177,131366,131366,0.9298087193294516,0.0701912806705483,1.0,1.0,744
5,99,1969196,1855373,113823,113823,0.9421982372501264,0.05780176274987355,1.0,1.0,744
6,99,1907527,1795375,112152,112152,0.9412055504325758,0.05879444956742421,1.0,1.0,744
7,99,1892280,1776194,116086,116086,0.9386528420741117,0.061347157925888345,1.0,1.0,744
8,99,1885111,1793951,91160,91160,0.951642104894619,0.04835789510538106,1.0,1.0,744
9,99,1849417,1752479,96938,96938,0.9475845631353016,0.05241543686469844,1.0,1.0,744
10,99,1879882,1764799,115083,115083,0.9387817958786775,0.061218204121322506,1.0,1.0,744
11,99,1859207,1760953,98254,98254,0.9471527376994601,0.05284726230053996,1.0,1.0,744
12,99,1926534,1842225,84309,84309,0.956237990089975,0.04376200991002495,1.0,1.0,744
13,99,1855592,1767774,87818,87818,0.9526738636510612,0.04732613634893878,1.0,1.0,744
14,99,1867383,1753459,113924,113924,0.9389926972667096,0.061007302733290386,1.0,1.0,744
15,99,1844806,1753953,90853,90853,0.9507520031916635,0.04924799680833648,1.0,1.0,744
16,99,1898817,1802774,96043,96043,0.9494195596521413,0.05058044034785869,1.0,1.0,744
17,99,1768825,1674137,94688,94688,0.946468418300284,0.05353158169971591,1.0,1.0,744
18,99,1845272,1745725,99547,99547,0.9460529396208256,0.053947060379174454,1.0,1.0,744
19,99,1901141,1795847,105294,105294,0.9446153651938494,0.05538463480615062,1.0,1.0,744
20,99,1860001,1748196,111805,111805,0.9398898172635392,0.0601101827364609,1.0,1.0,744
21,99,1879579,1762920,116659,116659,0.9379334414781182,0.06206655852188176,1.0,1.0,744
22,99,1821234,1725645,95589,95589,0.947514157982994,0.052485842017006054,1.0,1.0,744
23,99,1831474,1724365,107109,107109,0.9415175973014086,0.05848240269859141,1.0,1.0,744
24,99,1767509,1661318,106191,106191,0.939920532229256,0.06007946777074402,1.0,1.0,744
25,99,1802034,1536397,265637,265637,0.852590461667205,0.14740953833279505,1.0,0.75,558
26,99,1722849,1629142,93707,93707,0.9456092785844842,0.05439072141551581,1.0,1.0,744
27,99,1788873,1661206,127667,127667,0.928632720153974,0.07136727984602596,1.0,1.0,744
28,99,1787323,1556436,230887,230887,0.8708196559883132,0.12918034401168677,1.0,0.75,558
29,99,1768452,1510195,258257,258257,0.8539643710996963,0.14603562890030378,1.0,0.75,558
30,99,1628488,1515796,112692,112692,0.93079961289245,0.06920038710755007,1.0,1.0,744
31,99,1780969,1641681,139288,139288,0.9217908902400884,0.0782091097599116,1.0,1.0,744
