context_len,batch_size,cache_ratio,passed_runs,block_cache_total_gib,block_cache_total_mib,block_cache_percent_of_a100_80gb,mean_decode_throughput_tokens_s,mean_peak_process_gpu_memory_mib,source_table
120000,1,0.005,2,0.072265625,74.0,0.09033203125,32.008124962167784,28922.0,research/block_cache_single_a100_pressure_final/summary.csv
120000,1,0.05,2,0.7265625,744.0,0.908203125,34.61699126417905,29686.0,research/block_cache_single_a100_pressure_final/summary.csv
120000,1,0.1,2,1.453125,1488.0,1.81640625,33.32570438755954,30454.0,research/block_cache_single_a100_pressure_final/summary.csv
120000,8,0.005,2,0.578125,592.0,0.72265625,88.70186130749339,36584.0,research/block_cache_single_a100_pressure_final/summary.csv
120000,8,0.025,1,2.90625,2976.0,3.6328125,149.08941189618056,39016.0,/home/v-xuchuanluo/.argus-skill/copilot-home/session-state/7253a517-eda5-4749-81b1-9df3fa71cead/files/cache_ratio_2p5_run/summary.csv
120000,8,0.05,2,5.8125,5952.0,7.265625,202.3755708533842,41960.0,research/block_cache_single_a100_pressure_final/summary.csv
120000,8,0.1,2,11.625,11904.0,14.53125,209.14495822592096,47848.0,research/block_cache_single_a100_pressure_final/summary.csv
240000,1,0.005,2,0.146484375,150.0,0.18310546875,23.393422526104217,35576.0,research/block_cache_single_a100_pressure_final/summary.csv
240000,1,0.05,2,1.47265625,1508.0,1.8408203125,31.399307186729086,36968.0,research/block_cache_single_a100_pressure_final/summary.csv
240000,1,0.1,2,2.9453125,3016.0,3.681640625,31.901524321389587,38528.0,research/block_cache_single_a100_pressure_final/summary.csv
480000,1,0.005,2,0.294921875,302.0,0.36865234375,14.95365946413926,46558.0,research/block_cache_single_a100_pressure_final/summary.csv
480000,1,0.05,2,2.94921875,3020.0,3.6865234375,25.125469448143992,49316.0,research/block_cache_single_a100_pressure_final/summary.csv
480000,1,0.1,2,5.900390625,6042.0,7.37548828125,25.88247574638784,52388.0,research/block_cache_single_a100_pressure_final/summary.csv
